0 , 0 , 0 , 0 , 0 , 
930 , 88 , 103 , 114 , 124 , 
922 , 160 , 171 , 171 , 176 , 
922 , 186 , 176 , 176 , 171 , 
821 , 134 , 155 , 134 , 150 , 
687 , 124 , 139 , 119 , 134 , 
794 , 114 , 124 , 108 , 124 , 
797 , 139 , 124 , 139 , 134 , 
1163 , 134 , 124 , 134 , 114 , 
1168 , 108 , 98 , 108 , 98 , 
1168 , 114 , 103 , 114 , 108 , 
1168 , 134 , 114 , 129 , 114 , 
1171 , 108 , 98 , 114 , 93 , 
1189 , 119 , 108 , 124 , 119 , 
1211 , 134 , 119 , 129 , 108 , 
1214 , 134 , 119 , 139 , 124 , 
1214 , 145 , 129 , 145 , 124 , 
1214 , 119 , 98 , 114 , 98 , 
1214 , 108 , 93 , 103 , 93 , 
1214 , 103 , 93 , 103 , 88 , 
1214 , 77 , 67 , 77 , 67 , 
