0,0,-nan
0,0,-nan
0,0,-nan
0,0,-nan
0,0,-nan
0,0,-nan
0,0,-nan
0,0,-nan
0,0,-nan
1.77143,1.23214,270.272
1.81786,1.20714,240.461
1.7,1.12143,326.31
1.73214,0.985714,126.254
1.72143,1.01786,196.46
1.66071,0.960714,191.821
1.58929,0.960714,222.879
1.53214,0.921429,216.573
1.48214,0.889286,215.362
1.41429,0.85,210.466
1.35714,0.825,205.278
1.28571,0.796429,203.385
1.23214,0.775,198.435
1.17143,0.764286,198.435
1.11071,0.75,195.376
1.04643,0.739286,189.689
0.992857,0.735714,188.326
0.939286,0.732143,185.44
0.882143,0.728572,184.086
0.825,0.728572,181.332
0.775,0.728572,181.302
0.714286,0.732143,178.603
0.657143,0.735714,175.914
0.603571,0.742857,175.914
0.542857,0.753572,173.211
0.489286,0.764286,171.469
0.435714,0.775,168.69
