0 , 0 , 0 , 5 , 0 , 
850 , 10 , 15 , 15 , 20 , 
847 , 31 , 36 , 36 , 46 , 
847 , 51 , 57 , 62 , 67 , 
837 , 67 , 77 , 72 , 82 , 
791 , 77 , 88 , 77 , 82 , 
749 , 77 , 82 , 77 , 82 , 
746 , 72 , 82 , 72 , 82 , 
741 , 67 , 77 , 67 , 72 , 
741 , 72 , 82 , 67 , 82 , 
741 , 72 , 72 , 67 , 72 , 
735 , 62 , 72 , 62 , 72 , 
730 , 62 , 77 , 72 , 82 , 
727 , 77 , 88 , 72 , 82 , 
727 , 77 , 82 , 77 , 88 , 
725 , 72 , 88 , 72 , 77 , 
719 , 72 , 77 , 67 , 82 , 
709 , 67 , 77 , 67 , 72 , 
706 , 67 , 72 , 62 , 72 , 
706 , 57 , 67 , 57 , 62 , 
706 , 57 , 62 , 57 , 67 , 
706 , 62 , 77 , 67 , 77 , 
703 , 72 , 77 , 67 , 72 , 
703 , 62 , 72 , 62 , 72 , 
695 , 57 , 62 , 57 , 57 , 
695 , 51 , 57 , 51 , 62 , 
693 , 51 , 62 , 57 , 62 , 
693 , 57 , 67 , 57 , 67 , 
709 , 57 , 62 , 51 , 57 , 
759 , 51 , 57 , 51 , 57 , 
783 , 57 , 57 , 51 , 57 , 
813 , 46 , 51 , 51 , 57 , 
815 , 46 , 51 , 46 , 51 , 
815 , 51 , 57 , 51 , 57 , 
813 , 51 , 57 , 51 , 57 , 
815 , 51 , 57 , 57 , 62 , 
815 , 51 , 57 , 46 , 51 , 
815 , 51 , 57 , 57 , 62 , 
896 , 57 , 57 , 57 , 51 , 
1035 , 57 , 51 , 51 , 62 , 
